french,fertility,prob
agir,0,0.2969650603916438
agir,4,0.0004722091070367079
agir,2,0.16750843266774873
agir,3,0.01641164915997354
agir,1,0.5186426486735973
antérieures,4,0.5293424517442776
antérieures,2,0.04136275230197645
antérieures,3,0.36943283517505837
antérieures,5,0.0584360739330567
antérieures,6,0.0014258868456310705
résoudre,0,0.5685881976482607
résoudre,2,0.047803301641133465
résoudre,3,0.0015562922762481965
résoudre,1,0.38205220843435755
illégaux,0,0.452497590853832
illégaux,4,0.0009455725769235305
illégaux,2,0.4023671199488418
illégaux,3,0.042684510338399956
illégaux,1,0.1015052062820028
daprès,0,0.6233217602707374
daprès,4,0.0003097893409997301
daprès,2,0.08019228897770377
daprès,3,0.009138801767946604
daprès,1,0.28703735964261257
lappareil,0,0.44813548138220166
lappareil,4,0.0018036894813487857
lappareil,2,0.3048190852601528
lappareil,3,0.047169921837501363
lappareil,1,0.19807182203879536
assurons,0,0.023897925197312216
assurons,4,0.002697756405289623
assurons,2,0.5478556671344632
assurons,3,0.07781971003901231
assurons,1,0.34772894122392256
atténuent,4,0.5818797045052285
atténuent,2,0.02917462770170807
atténuent,3,0.327457693841575
atténuent,5,0.06013811620873975
atténuent,6,0.0013498577427487146
valette,0,0.0046473431251159375
valette,4,0.003354978529474624
valette,2,0.7038756719131322
valette,3,0.10166771292755285
valette,1,0.18645429350472445
relâchement,0,0.07930222912086174
relâchement,2,0.17572302872408338
relâchement,3,0.009811715829250393
relâchement,1,0.7351630263258044
salimente,0,0.8743123259022674
salimente,2,0.0038825719007933223
salimente,1,0.12180510219693931
dénombrement,0,0.00737669503763247
dénombrement,4,0.0021020477097039554
dénombrement,2,0.6935625719858651
dénombrement,3,0.07918475234724018
dénombrement,1,0.2177739329195581
mériter,0,0.4418642359582975
mériter,4,0.23229676852395142
mériter,2,0.033021380584329636
mériter,3,0.21031405899734967
mériter,5,0.02539073709497798
mériter,6,0.000633656581890019
mériter,1,0.05647916225920378
réfléchie,4,0.08152080041317043
réfléchie,2,0.38497149369478023
réfléchie,3,0.4837046423051152
