fert,rel_dist,prob
9,-13,0.0003926735343556952
9,-12,0.0006105473607319581
9,-28,5.986846982543814e-6
9,-24,5.283740616417079e-5
9,-23,5.15509530274268e-5
9,-15,0.0001608576129170045
9,-19,0.0001499077331252449
9,-20,0.0010354976305366162
9,-9,0.0002920953851415671
9,4,0.010499343231575217
9,-6,0.00016393283639077504
9,-10,0.0017842518245943964
9,13,7.236916432356666e-7
9,-2,0.0006141148204118479
9,-5,0.0001761690917298114
9,-14,0.0006693919957578979
9,1,0.027053122998977393
9,-16,0.0001663270347311497
9,-21,0.00010745110866132919
9,-17,0.0001378645238086362
9,7,0.0008097313932384418
9,9,0.0005348183286809454
9,0,3.0810817062971085e-5
9,-33,1.1366975750263007e-7
9,3,0.012510031932387476
9,-22,0.000802504173925053
9,-18,0.00011761350853265437
9,-30,4.919554918678377e-7
9,-31,9.091531411758923e-8
9,-27,4.105616951182292e-5
9,12,1.1809892713736314e-5
9,-11,0.0002886283623419298
9,-1,0.000431532482219304
9,-26,3.32001333896874e-5
9,-4,0.0001658212824793007
9,10,3.759008787456557e-5
9,-25,1.874803047411711e-5
9,6,0.0018472277200438504
9,-8,0.00016312178171432618
9,-29,6.263020688227807e-7
9,5,0.003691306035357811
10,2,0.03508461059319078
10,-7,0.0006870085097808876
10,11,3.2106272318423935e-5
10,-3,0.00026996123763146966
10,8,0.00025998893685253045
10,-13,0.000443831747963138
10,-12,0.00048043587101902695
10,-28,2.0854442894086996e-5
10,-24,0.00015602412769483788
10,-23,0.0001933621893313591
10,-15,0.00016986520892462088
10,-19,0.00022446649583645516
10,-20,0.0004294051558947678
10,-9,0.00018819656893531117
10,4,0.01244410008164728
10,-6,0.000327308953018195
10,-10,0.0009894735985122955
10,-2,0.0001238493541194929
10,-5,0.00018368584851176525
10,-14,0.0003655965835990398
10,1,0.030378155707354297
10,-16,0.00012691034326594338
10,-21,0.0004920361441433415
10,-17,0.00013452210189703441
10,7,0.001248403072268812
10,9,0.00013393758710341568
10,0,1.1146064910368782e-5
10,3,0.018029820285610534
10,-22,0.0020184283712757394
10,-18,0.0001588518988427712
10,-30,1.8995160436510726e-6
10,-27,0.0013092972280233045
10,12,9.157107053611709e-6
10,-11,0.0001865855921841667
10,-1,0.00015880177741478272
10,-26,5.25637757659475e-5
10,-4,0.0005346115763490239
10,10,0.00026800956233509325
10,-25,0.00015652620582871625
10,6,0.004916350539532685
10,-8,0.0003092605626711516
10,-29,1.143141900699953e-5
10,5,0.0030755466648212824
19,-16,0.00013243359547054754
19,2,0.013557322993322801
19,-11,0.00031238292037168267
19,-9,0.00020003639342928558
19,6,0.001604362306388924
19,4,0.005246841797889554
19,-8,0.003686844431884559
19,-10,0.00019878600044883634
19,3,0.010290110300786477
19,5,0.005654702231198369
19,-12,0.00019949965364481805
19,1,0.045890310518693016
17,2,0.01194250023740055
17,-7,1.5342077776649707e-5
17,11,4.2571945220570497e-7
17,-32,5.011078436317291e-6
17,-3,8.554798924506142e-5
17,8,4.998679013830882e-6
17,-34,2.6179210688890006e-6
17,-13,1.2605161268463404e-5
17,-12,0.00019999347409030532
17,-28,2.647470938212776e-6
17,-24,4.873074320368336e-6
17,-23,4.649899837925847e-6
17,-15,3.3940197157764416e-5
17,-19,5.844749504837733e-5
17,-20,3.834122190530847e-5
17,-9,8.457100235887248e-5
17,4,0.0041464747394341014
17,-6,2.6598732321483804e-5
17,-10,7.688321162143151e-5
17,13,1.3546968118391194e-6
17,-2,0.0001367197264889173
17,-5,0.0001314558020212829
17,-14,0.00012675926039714013
17,1,0.031095518794432463
17,-16,6.0297183879686646e-5
17,-21,2.0240887056701618e-5
17,-17,2.8396204582687394e-5
17,7,0.00026949346488938875
17,9,7.49051420128281e-6
17,0,2.2085086431704855e-6
17,-33,6.933718184744215e-6
17,-35,3.117313964903698e-6
17,3,0.008696257463132007
17,-22,9.183018471376796e-6
17,-18,1.0033048596198816e-5
17,-30,5.841407510763719e-6
17,-31,1.4134187385945306e-5
17,-27,3.815738526436169e-6
17,12,6.363807822676795e-7
17,-11,7.336160135628609e-5
17,-1,7.038954852088036e-6
17,-26,5.088526313478507e-6
17,10,5.03713329360361e-7
17,-4,2.9630592427808886e-5
17,-25,6.9666791512179534e-6
17,6,0.003496463938138451
17,-8,0.0026194051451992593
17,-29,4.038780869072028e-5
17,5,0.003839431165244943
8,2,0.02009101803803859
8,-7,0.0005817499248229096
8,11,4.0676398770244766e-5
8,-32,1.4318072386878382e-6
8,-3,0.0002323683320347972
8,8,0.0004439874858755495
8,-13,0.0004280997438817989
8,14,8.425778421703113e-7
8,-12,0.0008370941019918711
8,-28,4.4432935009632034e-5
8,-24,6.080328737487293e-6
8,-23,7.982030707657819e-6
8,-15,0.00029391741054009366
8,-19,5.060962357983293e-5
8,-20,0.00024326370232577321
8,-9,0.0005292947902418991
8,4,0.007445166863606166
8,-6,0.00034223318247449114
8,-10,0.0012988389751983091
8,13,1.7154659264384473e-5
8,-2,0.0009081278884123771
8,-5,0.00024176883913694765
8,-14,0.0005067425041816613
8,1,0.029242229580167593
8,-16,0.00021386561291912177
8,-21,4.855003024177019e-5
8,-17,0.000263177490821053
8,0,2.5192543388514e-5
8,7,0.0011323682148513187
8,9,0.0001994006281503645
8,-33,8.015393952220154e-7
8,3,0.015248522704182603
8,-22,4.9094560803544304e-5
8,-18,6.551719657237489e-5
8,-30,2.3175897371597775e-6
8,-31,1.022255074764456e-6
8,-27,2.010715313530156e-6
8,12,2.0952700377822824e-5
8,-11,0.0006073689931882663
8,-1,0.0007781387955401367
8,-26,6.1004097270709774e-6
8,-4,0.0002761214768515485
8,10,0.00024366974659456884
8,-25,5.188777811062552e-6
8,6,0.0021144056111202124
8,-8,0.0004221775789909565
8,-29,4.026612045505866e-6
8,5,0.0029809264068890347
8,15,1.1403960718712495e-7
6,2,0.025818649607530768
6,-7,0.0012096555584014904
6,11,0.00010273818358093622
6,-32,2.820425144393909e-7
6,-3,0.0009645695710630856
6,8,0.0009257026176564111
6,-13,0.0005946370134033181
6,20,2.141298510142123e-8
6,14,3.671193982715391e-5
6,-12,0.000514990613172015
6,-28,3.146272129324047e-5
6,18,3.2792965684085656e-7
6,-24,1.5297298751805887e-6
6,-23,5.97850909984278e-6
6,-15,0.00015855477537929724
6,-19,0.00018504317181079278
6,-20,2.256473957276357e-5
6,17,3.07278614843626e-7
6,-9,0.0007830543558385529
6,4,0.007885158572955993
6,-6,0.0012420593525928915
6,-10,0.0009585102308312783
6,13,7.697234827999615e-5
6,-2,0.0011633012303881882
6,-5,0.0009389308407443096
6,-14,0.0002790156474131879
6,1,0.037813665085210536
6,-16,0.00015183583332242104
6,-21,9.169201943421513e-5
6,-17,0.0001446934164919153
6,0,0.0001457563103558421
6,9,0.0003464394101046563
