fert,max_vac,last_cept,rel_dist,prob
1,18,7,11,0.06545437196470894
1,18,7,7,4.2065003862762624e-7
1,18,7,9,0.05816499754220718
1,18,7,10,0.06832707162464907
1,18,7,17,0.053315239385477574
1,18,7,8,0.05816499754220718
1,18,7,6,0.058681838873661726
1,18,7,4,0.05870130890268786
1,18,7,3,0.05874628175923627
1,18,7,5,0.05870126623211476
1,18,7,13,0.062284206942269126
1,18,7,14,0.05909420219402957
1,18,7,15,0.05344015656583786
1,18,7,12,0.06846604356644118
1,18,7,18,0.04442849747776439
1,18,9,1,0.058442234624275446
1,18,9,2,0.05670680477265249
1,18,9,16,0.05749633789107011
1,18,9,11,0.06810167317777974
1,18,9,7,4.645326827524677e-7
1,18,9,9,0.057383026078274946
1,18,9,10,0.07448159983641776
1,18,9,17,0.05255317300648795
1,18,9,8,0.05785687385958411
1,18,9,6,0.05839576933824208
1,18,9,4,0.05844246547688548
1,18,9,3,0.05844206486062843
1,18,9,5,0.05843860855457705
1,18,9,13,0.060411575619728194
1,18,9,14,0.05834491214897592
1,18,9,15,0.0526775775004315
1,18,9,12,0.06764179300312603
1,18,9,18,0.044183045718180075
1,18,10,1,0.05760479644211019
1,18,10,2,0.055855295444976624
1,18,10,16,0.05715319475558181
1,18,10,11,0.057604971527490244
1,18,10,7,0.057620987052446046
1,18,10,9,0.05701194658895146
1,18,10,10,0.055937447711341626
1,18,10,17,0.052162198634514066
1,18,10,8,0.05755959345507868
1,18,10,6,0.05755795440803345
1,18,10,4,0.0576050291665105
1,18,10,3,0.05760462530199202
1,18,10,5,0.05760114097165312
1,18,10,13,0.07616638798897511
1,18,10,14,0.05746137620393867
1,18,10,15,0.03967486580049285
1,18,10,12,0.04789684555172265
1,18,10,18,0.039921342994190805
1,18,17,1,0.06195462144903002
1,18,17,2,0.05962896271241819
1,18,17,16,0.011520702051983089
1,18,17,11,0.07363563915745261
1,18,17,7,5.418283410734136e-7
1,18,17,9,0.06133030531362609
1,18,17,10,0.06133030531362609
1,18,17,17,0.061462493750618595
1,18,17,8,0.061883091435730286
1,18,17,6,0.061930772602524414
1,18,17,4,0.061953392921049184
1,18,17,3,0.06195286468221205
1,18,17,5,0.06195334334629203
1,18,17,13,0.07329808061338522
1,18,17,14,0.06610752146624659
1,18,17,15,0.06856387429645851
1,18,17,12,0.04631950701135392
1,18,17,18,0.04517398004765194
1,18,8,1,0.059158885958895284
1,18,8,2,0.05740303872956926
1,18,8,16,0.058172783813771396
1,18,8,11,0.06405708043855397
1,18,8,7,4.245820270247562e-7
1,18,8,9,0.05805813888452794
1,18,8,10,0.06764481823117169
1,18,8,17,0.05317146246472448
1,18,8,8,0.058537561497407326
1,18,8,6,0.058578914615106156
1,18,8,4,0.05915911952749257
1,18,8,3,0.0591587141979746
1,18,8,5,0.059155217228391885
1,18,8,13,0.06224562988682822
1,18,8,14,0.05903134157006901
1,18,8,15,0.053297330580800856
1,18,8,12,0.06843760047120959
1,18,8,18,0.04473193732147885
1,18,6,1,0.060403294222570375
1,18,6,2,0.060540281730895214
1,18,6,16,0.06222351699555068
1,18,6,11,0.06986710705017529
1,18,6,7,1.8837629855174626e-7
1,18,6,9,0.062102164133728474
1,18,6,10,0.07293538758783352
1,18,6,17,0.056929565814241696
1,18,6,8,0.062102164133728474
1,18,6,6,5.539460161857367e-7
1,18,6,4,0.06267417683050495
1,18,6,3,0.06267369189176109
1,18,6,5,0.06267413131942423
1,18,6,13,0.06649609227273669
1,18,6,14,0.06309373432690751
1,18,6,15,0.057062798517086795
1,18,6,12,0.07308893329979592
1,18,6,18,0.045132217550744425
1,18,4,1,0.06401662525731645
1,18,4,2,0.061835176666655625
1,18,4,16,0.0635550135611443
1,18,4,11,0.07139079869649033
1,18,4,7,5.306047944766615e-7
1,18,4,9,0.06343102190448402
1,18,4,10,0.07451811997040039
1,18,4,17,0.058145946420965766
1,18,4,8,0.06343102190448402
1,18,4,6,5.539169486446203e-7
1,18,4,4,0.06401547290826798
1,18,4,3,0.06401497742462345
1,18,4,5,0.06399425523725334
1,18,4,13,0.06794711827585631
1,18,4,14,0.06447077670533205
1,18,4,15,0.058282076244196505
1,18,4,12,0.07465669626914191
1,18,4,18,0.022293818031644548
1,18,3,1,0.05665774601986653
1,18,3,2,0.054727187951626094
1,18,3,16,0.056249224733481526
1,18,3,11,0.06317744684334715
1,18,3,7,0.05659836807153571
1,18,3,9,0.05613949347775322
1,18,3,10,0.055031082916930936
1,18,3,17,0.05146225966181709
1,18,3,8,0.05613949347775322
1,18,3,6,0.05665692729134565
1,18,3,4,0.05665668505098312
1,18,3,3,0.056656287706012734
1,18,3,5,0.05663794879755054
1,18,3,13,0.060129628723222875
1,18,3,14,0.05705310457515599
1,18,3,15,0.051582733061666136
1,18,3,12,0.06607409212452468
1,18,3,18,0.032370289515426795
1,18,5,1,0.05930138019395035
1,18,5,2,0.057279128808652165
1,18,5,16,0.05887345587978124
1,18,5,11,0.06613431183361936
1,18,5,7,4.888928404470785e-7
1,18,5,9,0.058758512854985546
1,18,5,10,0.06907979190764381
1,18,5,17,0.053859130277872924
1,18,5,8,0.058758512854985546
1,18,5,6,0.05930052257929864
1,18,5,4,0.05930031194074021
1,18,5,3,0.059299852616376186
1,18,5,5,0.05930026883354679
1,18,5,13,0.0629506732359956
1,18,5,14,0.05972802724430948
1,18,5,15,0.05398532565453074
1,18,5,12,0.06916496278208048
1,18,5,18,0.03492534160879051
1,18,13,1,0.06398387678584601
1,18,13,2,0.062168800605479385
1,18,13,16,0.06358008984757901
1,18,13,11,0.03564200012112739
1,18,13,7,0.06398287885906204
1,18,13,9,0.06349091854735858
1,18,13,10,0.06349091854735858
1,18,13,17,0.05937229577986372
1,18,13,8,0.06392063204361062
1,18,13,6,0.06393535598244435
1,18,13,4,0.06603720981172033
1,18,13,3,0.06603220913619696
1,18,13,5,0.06602122593448673
1,18,13,13,0.009591570210495035
1,18,13,14,0.06386766853134525
1,18,13,15,0.04916197323814054
1,18,13,12,0.06604213068473505
1,18,13,18,0.009678245333150202
1,18,14,1,0.057368056210294296
1,18,14,2,0.05565408385586036
1,18,14,16,0.04253642582394445
1,18,14,11,0.06725710769796898
1,18,14,7,0.057383918023784335
1,18,14,9,0.05678724587619957
1,18,14,10,0.05678724587619957
1,18,14,17,0.05695927238833433
1,18,14,8,0.057323771199747485
1,18,14,6,0.05732216543826023
1,18,14,4,0.05736828420855733
1,18,14,3,0.057367888545667885
1,18,14,5,0.05736447497466427
1,18,14,13,0.06724574754262332
1,18,14,14,0.061181960521111474
1,18,14,15,0.05246655509160874
1,18,14,12,0.03921223750715647
1,18,14,18,0.04241355921801691
1,18,15,1,0.05808883369567475
1,18,15,2,0.05622083886245352
1,18,15,16,0.038944507482981394
1,18,15,11,0.05630855530809081
1,18,15,7,0.058106120897284806
1,18,15,9,0.05745583007670508
1,18,15,10,0.05745583007670508
1,18,15,17,0.057606644992443785
1,18,15,8,0.05804056910688107
1,18,15,6,0.05803881904705437
1,18,15,4,0.05808908218251649
1,18,15,3,0.05808865096422353
1,18,15,5,0.05808493063992454
1,18,15,13,0.05429744565337871
1,18,15,14,0.046871012457159245
1,18,15,15,0.05793569959382361
1,18,15,12,0.05808902063960108
